countyFIPS,#Deaths_01-01-2021,#Deaths_01-02-2021,#Deaths_01-03-2021,#Deaths_01-04-2021,#Deaths_01-05-2021,#Deaths_01-06-2021,#Deaths_01-07-2021,#Deaths_01-08-2021,#Deaths_01-09-2021,#Deaths_01-10-2021,#Deaths_01-11-2021,#Deaths_01-12-2021,#Deaths_01-13-2021,#Deaths_01-14-2021,#Deaths_01-15-2021,#Deaths_01-16-2021,#Deaths_01-17-2021,#Deaths_01-18-2021,#Deaths_01-19-2021,#Deaths_01-20-2021,#Deaths_01-21-2020,#Deaths_01-21-2021,#Deaths_01-22-2020,#Deaths_01-22-2021,#Deaths_01-23-2020,#Deaths_01-23-2021,#Deaths_01-24-2020,#Deaths_01-24-2021,#Deaths_01-25-2020,#Deaths_01-25-2021,#Deaths_01-26-2020,#Deaths_01-26-2021,#Deaths_01-27-2020,#Deaths_01-27-2021,#Deaths_01-28-2020,#Deaths_01-28-2021,#Deaths_01-29-2020,#Deaths_01-29-2021,#Deaths_01-30-2020,#Deaths_01-30-2021,#Deaths_01-31-2020,#Deaths_01-31-2021,#Deaths_02-01-2020,#Deaths_02-01-2021,#Deaths_02-02-2020,#Deaths_02-02-2021,#Deaths_02-03-2020,#Deaths_02-03-2021,#Deaths_02-04-2020,#Deaths_02-04-2021,#Deaths_02-05-2020,#Deaths_02-05-2021,#Deaths_02-06-2020,#Deaths_02-06-2021,#Deaths_02-07-2020,#Deaths_02-07-2021,#Deaths_02-08-2020,#Deaths_02-08-2021,#Deaths_02-09-2020,#Deaths_02-09-2021,#Deaths_02-10-2020,#Deaths_02-10-2021,#Deaths_02-11-2020,#Deaths_02-11-2021,#Deaths_02-12-2020,#Deaths_02-12-2021,#Deaths_02-13-2020,#Deaths_02-13-2021,#Deaths_02-14-2020,#Deaths_02-14-2021,#Deaths_02-15-2020,#Deaths_02-15-2021,#Deaths_02-16-2020,#Deaths_02-16-2021,#Deaths_02-17-2020,#Deaths_02-17-2021,#Deaths_02-18-2020,#Deaths_02-18-2021,#Deaths_02-19-2020,#Deaths_02-19-2021,#Deaths_02-20-2020,#Deaths_02-20-2021,#Deaths_02-21-2020,#Deaths_02-21-2021,#Deaths_02-22-2020,#Deaths_02-22-2021,#Deaths_02-23-2020,#Deaths_02-23-2021,#Deaths_02-24-2020,#Deaths_02-24-2021,#Deaths_02-25-2020,#Deaths_02-25-2021,#Deaths_02-26-2020,#Deaths_02-26-2021,#Deaths_02-27-2020,#Deaths_02-27-2021,#Deaths_02-28-2020,#Deaths_02-28-2021,#Deaths_02-29-2020,#Deaths_03-01-2020,#Deaths_03-01-2021,#Deaths_03-02-2020,#Deaths_03-02-2021,#Deaths_03-03-2020,#Deaths_03-03-2021,#Deaths_03-04-2020,#Deaths_03-04-2021,#Deaths_03-05-2020,#Deaths_03-05-2021,#Deaths_03-06-2020,#Deaths_03-06-2021,#Deaths_03-07-2020,#Deaths_03-07-2021,#Deaths_03-08-2020,#Deaths_03-08-2021,#Deaths_03-09-2020,#Deaths_03-09-2021,#Deaths_03-10-2020,#Deaths_03-10-2021,#Deaths_03-11-2020,#Deaths_03-11-2021,#Deaths_03-12-2020,#Deaths_03-12-2021,#Deaths_03-13-2020,#Deaths_03-13-2021,#Deaths_03-14-2020,#Deaths_03-14-2021,#Deaths_03-15-2020,#Deaths_03-15-2021,#Deaths_03-16-2020,#Deaths_03-16-2021,#Deaths_03-17-2020,#Deaths_03-17-2021,#Deaths_03-18-2020,#Deaths_03-18-2021,#Deaths_03-19-2020,#Deaths_03-19-2021,#Deaths_03-20-2020,#Deaths_03-20-2021,#Deaths_03-21-2020,#Deaths_03-21-2021,#Deaths_03-22-2020,#Deaths_03-22-2021,#Deaths_03-23-2020,#Deaths_03-23-2021,#Deaths_03-24-2020,#Deaths_03-24-2021,#Deaths_03-25-2020,#Deaths_03-25-2021,#Deaths_03-26-2020,#Deaths_03-26-2021,#Deaths_03-27-2020,#Deaths_03-27-2021,#Deaths_03-28-2020,#Deaths_03-28-2021,#Deaths_03-29-2020,#Deaths_03-29-2021,#Deaths_03-30-2020,#Deaths_03-30-2021,#Deaths_03-31-2020,#Deaths_03-31-2021,#Deaths_04-01-2020,#Deaths_04-01-2021,#Deaths_04-02-2020,#Deaths_04-02-2021,#Deaths_04-03-2020,#Deaths_04-03-2021,#Deaths_04-04-2020,#Deaths_04-04-2021,#Deaths_04-05-2020,#Deaths_04-05-2021,#Deaths_04-06-2020,#Deaths_04-06-2021,#Deaths_04-07-2020,#Deaths_04-07-2021,#Deaths_04-08-2020,#Deaths_04-08-2021,#Deaths_04-09-2020,#Deaths_04-09-2021,#Deaths_04-10-2020,#Deaths_04-10-2021,#Deaths_04-11-2020,#Deaths_04-11-2021,#Deaths_04-12-2020,#Deaths_04-12-2021,#Deaths_04-13-2020,#Deaths_04-13-2021,#Deaths_04-14-2020,#Deaths_04-14-2021,#Deaths_04-15-2020,#Deaths_04-15-2021,#Deaths_04-16-2020,#Deaths_04-16-2021,#Deaths_04-17-2020,#Deaths_04-17-2021,#Deaths_04-18-2020,#Deaths_04-18-2021,#Deaths_04-19-2020,#Deaths_04-19-2021,#Deaths_04-20-2020,#Deaths_04-20-2021,#Deaths_04-21-2020,#Deaths_04-21-2021,#Deaths_04-22-2020,#Deaths_04-22-2021,#Deaths_04-23-2020,#Deaths_04-23-2021,#Deaths_04-24-2020,#Deaths_04-24-2021,#Deaths_04-25-2020,#Deaths_04-25-2021,#Deaths_04-26-2020,#Deaths_04-26-2021,#Deaths_04-27-2020,#Deaths_04-27-2021,#Deaths_04-28-2020,#Deaths_04-28-2021,#Deaths_04-29-2020,#Deaths_04-29-2021,#Deaths_04-30-2020,#Deaths_04-30-2021,#Deaths_05-01-2020,#Deaths_05-01-2021,#Deaths_05-02-2020,#Deaths_05-02-2021,#Deaths_05-03-2020,#Deaths_05-03-2021,#Deaths_05-04-2020,#Deaths_05-04-2021,#Deaths_05-05-2020,#Deaths_05-06-2020,#Deaths_05-07-2020,#Deaths_05-08-2020,#Deaths_05-09-2020,#Deaths_05-10-2020,#Deaths_05-11-2020,#Deaths_05-12-2020,#Deaths_05-13-2020,#Deaths_05-14-2020,#Deaths_05-15-2020,#Deaths_05-16-2020,#Deaths_05-17-2020,#Deaths_05-18-2020,#Deaths_05-19-2020,#Deaths_05-20-2020,#Deaths_05-21-2020,#Deaths_05-22-2020,#Deaths_05-23-2020,#Deaths_05-24-2020,#Deaths_05-25-2020,#Deaths_05-26-2020,#Deaths_05-27-2020,#Deaths_05-28-2020,#Deaths_05-29-2020,#Deaths_05-30-2020,#Deaths_05-31-2020,#Deaths_06-01-2020,#Deaths_06-02-2020,#Deaths_06-03-2020,#Deaths_06-04-2020,#Deaths_06-05-2020,#Deaths_06-06-2020,#Deaths_06-07-2020,#Deaths_06-08-2020,#Deaths_06-09-2020,#Deaths_06-10-2020,#Deaths_06-11-2020,#Deaths_06-12-2020,#Deaths_06-13-2020,#Deaths_06-14-2020,#Deaths_06-15-2020,#Deaths_06-16-2020,#Deaths_06-17-2020,#Deaths_06-18-2020,#Deaths_06-19-2020,#Deaths_06-20-2020,#Deaths_06-21-2020,#Deaths_06-22-2020,#Deaths_06-23-2020,#Deaths_06-24-2020,#Deaths_06-25-2020,#Deaths_06-26-2020,#Deaths_06-27-2020,#Deaths_06-28-2020,#Deaths_06-29-2020,#Deaths_06-30-2020,#Deaths_07-01-2020,#Deaths_07-02-2020,#Deaths_07-03-2020,#Deaths_07-04-2020,#Deaths_07-05-2020,#Deaths_07-06-2020,#Deaths_07-07-2020,#Deaths_07-08-2020,#Deaths_07-09-2020,#Deaths_07-10-2020,#Deaths_07-11-2020,#Deaths_07-12-2020,#Deaths_07-13-2020,#Deaths_07-14-2020,#Deaths_07-15-2020,#Deaths_07-16-2020,#Deaths_07-17-2020,#Deaths_07-18-2020,#Deaths_07-19-2020,#Deaths_07-20-2020,#Deaths_07-21-2020,#Deaths_07-22-2020,#Deaths_07-23-2020,#Deaths_07-24-2020,#Deaths_07-25-2020,#Deaths_07-26-2020,#Deaths_07-27-2020,#Deaths_07-28-2020,#Deaths_07-29-2020,#Deaths_07-30-2020,#Deaths_07-31-2020,#Deaths_08-01-2020,#Deaths_08-02-2020,#Deaths_08-03-2020,#Deaths_08-04-2020,#Deaths_08-05-2020,#Deaths_08-06-2020,#Deaths_08-07-2020,#Deaths_08-08-2020,#Deaths_08-09-2020,#Deaths_08-10-2020,#Deaths_08-11-2020,#Deaths_08-12-2020,#Deaths_08-13-2020,#Deaths_08-14-2020,#Deaths_08-15-2020,#Deaths_08-16-2020,#Deaths_08-17-2020,#Deaths_08-18-2020,#Deaths_08-19-2020,#Deaths_08-20-2020,#Deaths_08-21-2020,#Deaths_08-22-2020,#Deaths_08-23-2020,#Deaths_08-24-2020,#Deaths_08-25-2020,#Deaths_08-26-2020,#Deaths_08-27-2020,#Deaths_08-28-2020,#Deaths_08-29-2020,#Deaths_08-30-2020,#Deaths_08-31-2020,#Deaths_09-01-2020,#Deaths_09-02-2020,#Deaths_09-03-2020,#Deaths_09-04-2020,#Deaths_09-05-2020,#Deaths_09-06-2020,#Deaths_09-07-2020,#Deaths_09-08-2020,#Deaths_09-09-2020,#Deaths_09-10-2020,#Deaths_09-11-2020,#Deaths_09-12-2020,#Deaths_09-13-2020,#Deaths_09-14-2020,#Deaths_09-15-2020,#Deaths_09-16-2020,#Deaths_09-17-2020,#Deaths_09-18-2020,#Deaths_09-19-2020,#Deaths_09-20-2020,#Deaths_09-21-2020,#Deaths_09-22-2020,#Deaths_09-23-2020,#Deaths_09-24-2020,#Deaths_09-25-2020,#Deaths_09-26-2020,#Deaths_09-27-2020,#Deaths_09-28-2020,#Deaths_09-29-2020,#Deaths_09-30-2020,#Deaths_10-01-2020,#Deaths_10-02-2020,#Deaths_10-03-2020,#Deaths_10-04-2020,#Deaths_10-05-2020,#Deaths_10-06-2020,#Deaths_10-07-2020,#Deaths_10-08-2020,#Deaths_10-09-2020,#Deaths_10-10-2020,#Deaths_10-11-2020,#Deaths_10-12-2020,#Deaths_10-13-2020,#Deaths_10-14-2020,#Deaths_10-15-2020,#Deaths_10-16-2020,#Deaths_10-17-2020,#Deaths_10-18-2020,#Deaths_10-19-2020,#Deaths_10-20-2020,#Deaths_10-21-2020,#Deaths_10-22-2020,#Deaths_10-23-2020,#Deaths_10-24-2020,#Deaths_10-25-2020,#Deaths_10-26-2020,#Deaths_10-27-2020,#Deaths_10-28-2020,#Deaths_10-29-2020,#Deaths_10-30-2020,#Deaths_10-31-2020,#Deaths_11-01-2020
17101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
17103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
17105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,12,12,12
17107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
17109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,7,7,8,11,11,11,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,17,17,20,20,20,20,20,21,21,21,21
17111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,7,7,8,8,11,11,13,13,13,13,17,17,17,17,17,17,20,20,22,22,26,26,27,27,28,28,28,28,28,28,31,31,33,33,34,34,37,37,37,37,37,37,38,38,40,40,42,44,48,51,51,52,55,56,57,62,62,62,62,64,66,67,67,67,67,67,68,69,70,71,73,73,73,74,78,78,82,83,83,83,84,84,84,85,85,85,85,86,88,89,89,91,91,91,92,93,95,96,97,97,97,97,97,97,97,97,97,99,100,103,103,103,103,103,103,105,105,105,106,107,107,108,109,110,111,111,111,111,113,113,113,113,114,114,114,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,116,116,117,117,117,117,117,117,117,118,118,118,118,118,118,118,118,118,118,119,119,119,119,120,120,120,120,122,122,122,122,122,122,122,122,122,123,123,123,123,123,124,124,124,124,124,124,124,124,124,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
17113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,6,6,6,6,9,9,9,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,19,19,19,19,19,20,20,22,22,23,23,23,23,23,23,23,23,23,23,23,23,24,26,26,27,27,29,29,30,30,30,30,30,31,31,31,34,34,34,34,36,37,37,37,37,38
17115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,6,6,6,6,7,7,7,7,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,13,13,13,13,13,14,15,15,15,15,16,16,16,17,17,17,17,17,17,17,17,18,19,19,19,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,26,26,26,26,26,26,27,27,28,28,28,28,28,28,29,29,30,32,32,32,33,34,34,34,36,39,40,40,42,44,44,44,44,44,44,45,45,45,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,49,49,51,51,52,52,53,54,55,56,56,59
17117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11
17119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,8,8,8,8,10,10,13,13,13,13,15,15,16,16,16,16,17,17,18,18,19,19,21,21,22,22,22,22,24,24,26,26,27,27,28,28,30,31,31,31,32,35,35,38,39,42,42,45,46,48,49,53,54,57,57,58,58,58,60,60,62,62,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,67,67,68,68,68,68,68,68,68,69,69,69,69,69,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,72,72,72,72,72,72,73,73,73,73,74,77,77,77,77,78,78,82,85,85,85,85,87,87,88,90,91,91,91,92,93,95,95,97,98,98,100,101,103,105,108,108,108,108,113,115,117,118,119,121,122,126,130,130,130,130,130,131,131,136,136,136,136,140,141,143,144,145,147,147,147,147,148,148,148,148,148,148,149,150,151,152,152,152,152,152,153,153,154,154,154,154,156,157,158,158,159,159
